attraction_name,attraction_rating,attraction_category,num_reviews,rank_in_city,photo,about,suggested_duration
Stanley Park,4.5,Parks,"28,784",#1 of 402 things to do in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/10/a6/09/9f/beautiful-view-of-stanley.jpg),"North America's third-largest park draws eight million visitors per year, many of whom may skate or walk past you on the Seawall, a scenic, 5.5-mile path running along the water on the park's perimeter. It's just one of many trails among the park's 1,000 acres, which also house an aquarium, nature center and other recreational facilities.",2-3 hours
Elk Falls Provincial Park,4.5,Parks,823,#2 of 34 things to do in Campbell River,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/b8/de/9a/photo2jpg.jpg),"A popular destination family campground on Vancouver Island! Explore the incredible camping, hiking, biking, and fishing opportunities this region has to offer. Be sure to check out the new suspension bridge! Park visitors to Elk Falls will enjoy the extensive forest trail network and the hiking and biking opportunities available. Impressive waterfalls serve as a beautiful backdrop while hiking through coastal forests. Minutes from the main campground, visitors can explore the impressive new suspension bridge. Access to the bridge can be found off the Canyon View Trail. Adventurous park users will be awe-struck at the views found from this newly-built attraction! Firewood is available for sale from the Park Operator. Reservations are recommended during peak season, however last-minute campers may be able to find a spot in July and August. Reservations for this park are accepted for arrival dates from mid-May – Labour Day. Elk Falls is open year-round (Winter Camping $11/night).",
Davison Orchards Country Village,4.5,Farms • Playgrounds • Farmers Markets,892,#2 of 36 things to do in Vernon,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/57/38/95/davison-orchards-country.jpg),"Growing food & family memories since 1933! At Davison Orchards, you get fresh, local produce grown right here in Vernon, BC. And we don't just grow it - we use the ingredients in our bakery and cafe to make the most delicious farm food you've ever tasted. Everything we grow is available to you right here on the farm. We invite you to be part of the story of your food from start to finish. You can see the crops growing, the fruit being picked, and the apples being peeled for our famous apple pie. Because our family has been running this farm for over 80 years, we want your whole family to enjoy their time here. There is something for everyone and we hope you'll make your own happy memories and traditions. Davison Orchards is open daily, from May 1 - October 31.",1-2 hours
Sea to Sky Gondola,4.5,Trams • Hiking Trails,"2,088",#1 of 34 things to do in Squamish,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/17/c5/ec/the-sea-to-sky-gondola.jpg),"Open year-round, the Sea to Sky Gondola is located 2km south of Squamish, BC along the beautiful Sea to Sky highway. The Sea to Sky Gondola is a wheelchair and stroller accessible 10 minute ride accessing walking & hiking trails, a suspension bridge, tube park (winter only) and local fare in the Summit Lodge.",2-3 hours
Squamish Lil'wat Cultural Centre,4.5,Art Galleries,"1,025",#8 of 65 things to do in Whistler,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/01/b8/c3/58/exterior-view-of-the.jpg),"The Squamish Lil'wat Cultural Centre is a three-story, 30,400-square foot award-winning cultural centre designed to blend the traditional Squamish Longhouse with the Lil'wat Istken. Cultural Ambassadors share their knowledge and stories with guests, augmenting the information shared throughout the centre's curated collection of artifacts and contemporary pieces. Traditional drum songs are shared at the top of each hour. The facility is designed to evoke a traditional Squamish longhouse and a Lil'wat Istken (pit house) and is surrounded by dramatic mountain scenery. This thriving cultural centre shares meaningful experiences, educating all, and lifts their two distinct cultures.",1-2 hours
Red Rooster Winery,4.0,Wineries & Vineyards,177,#23 of 82 things to do in Penticton,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0f/92/9c/57/red-rooster.jpg),"Perched high above Okanagan Lake, our winery is located among the rolling hills of Naramata Bench Road. Here we have the most inspiring views you could possibly imagine. Which is probably why we tend to look at things a little differently. Our engaging and, at times, offbeat approach gives a certain proud flair to everything we do. Not surprisingly, our wines consistently receive top honours at major wine competitions around the world. Not to mention, the 6 Lieutenant Governor's Award of Excellence under our belts. Come join us for an experience that is a short detour from the expected and experience the Red Rooster experience!",
Nakusp Hot Springs,4.5,Hot Springs & Geysers,286,#2 of 16 things to do in Nakusp,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/06/0b/04/90/nakusp-hot-springs.jpg),"Nestled deep within the natural beauty of the Kuskanax Valley, the Nakusp Hot Springs offers over 200 acres of year round outdoor recreation opportunities. Located 12 km NE of Nakusp, the Hot Springs are nestled amongst nature's splendour, along the Kuskanax Creek. Come for a restorative soak in the mineral pools after taking a hike on the many trails in the surrounding area. Stay at our cozy Chalets or in our Campground for the full experience. Visit our spectacular Kuskanax Creek Footbridge just a short walk from the Hotsprings. The source of our mineral water and original site of the Hotsprings are also accessible by hiking trails. For the more adventurous, try a day hike to the beautiful Kimbol Lake.",
Seton Lake,4.5,Bodies of Water,57,#3 of 19 things to do in Lillooet,background-image:url(https://media-cdn.tripadvisor.com/media/photo-c/768x250/0f/70/8b/59/seton-lake.jpg),,< 1 hour
Kicking Horse Pedestrian Bridge,4.5,Points of Interest & Landmarks • Bridges,328,#2 of 45 things to do in Golden,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/04/6a/aa/f1/kicking-horse-pedestrian.jpg),,< 1 hour
Air Park,4.5,Historic Walking Areas • Jogging Paths & Tracks,223,#2 of 30 things to do in Courtenay,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/0b/f1/d3/d5/air-park.jpg),,
Karst Creek Trail,5.0,Hiking Trails,1,#58 of 79 things to do in Comox Valley,,,< 1 hour
Campbell Valley Regional Park,4.5,Parks,227,#1 of 20 things to do in Langley City,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/ea/5f/d5/photo0jpg.jpg),,
Tourism Discovery Centre,4.5,Visitor Centres,108,#1 of 10 things to do in Williams Lake,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0f/3e/b8/60/williams-lake-visitor.jpg),"The Williams Lake Visitor Centre is here to help you with all your travel needs! We provide information on Williams Lake, the Cariboo region, and the rest of Canada. The Museum of the Cariboo Chilcotin is located in the back half of the building. The centre also boast a gift/coffee shop, interactive displays, washrooms, seating areas, and free internet. Contact us if you have any travel questions, or drop by if you need a rest during your trip! We currently are following Covid 19 procedure to ensure your safety.",< 1 hour
French Beach Provincial Park,4.5,Beaches • Parks,241,#2 of 20 things to do in Sooke,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/0f/86/72/40/port-renfrew-end-of-the.jpg),,
Othello Tunnels,4.5,Points of Interest & Landmarks,885,#1 of 23 things to do in Hope,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0f/0b/96/2f/view-of-the-tunnel.jpg),,1-2 hours
BC Ferries,4.0,Ferries,"1,626",#2 of 11 things to do in Tsawwassen,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/08/1f/b7/e1/bc-ferries.jpg),"BC Ferries provides passenger and vehicle ferry services to 45 ports of call across coastal BC, with sailings to and from Metro Vancouver, Vancouver Island, the Sunshine Coast, the Gulf Islands, and Northern BC. BC Ferries Vacations also offers over 100 travel packages, including return ferry and accommodation. When on board BC Ferries, there are plenty of options for food and shopping, along with great wildlife and sightseeing opportunities.",
Whistler Suspension Bridge,4.5,Points of Interest & Landmarks,101,#14 of 65 things to do in Whistler,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/15/cb/66/ff/whistler-suspension-bridge.jpg),,
Westwood Lake Park,4.5,Parks,220,#2 of 69 things to do in Nanaimo,background-image:url(https://media-cdn.tripadvisor.com/media/photo-s/04/9f/ee/80/swimming-area-and-beach.jpg),,
Radium Snowmobile Rental,,Equipment Hire,,#12 of 12 Outdoor Activities in Invermere,,"Radium rental and guided tours. Imagine the thrilling sensation of a mountain experience. Bring a friend and embark on our classic Alpine Tour of 9,000ft altitude. Escape the winter shadows as you meander through old growth forest at dusk, then onto our mid-mountain playground on your way to the deep powder.",More than 3 hours
The Grouse Grind,4.5,Hiking Trails,866,#4 of 57 things to do in North Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-s/06/26/d5/e9/the-grouse-grind.jpg),,
Cathedral Grove,4.5,Forests,986,#1 of 30 things to do in Port Alberni,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/03/e4/2a/63/cathedral-grove.jpg),,
Queen's Park,4.5,Parks,173,#1 of 38 things to do in New Westminster,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/05/df/cf/b3/queen-s-park.jpg),,
Oceana Massage,,Spas,,#224 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/11/fd/5f/6a/one-of-the-studios-of.jpg),"At Oceana Massage, preventative health and promoting self-care – regular exercise, hydration, nutrition and relaxation – comes first and foremost. In a world where people are constantly overextending and on the go, Oceana Massage provides much needed respite and healing so clients can better manage the pace of their lives. Call Oceana today for a blissful hour!",1-2 hours
Stuart Lake Marine Provincial Park and Stuart Lake Provincial Park,,Parks,,#1 of 1 things to do in Tachie,background-image:url(https://media-cdn.tripadvisor.com/media/photo-c/768x250/10/e9/29/73/stuart-lake-and-battleship.jpg),,
White Pelican Provincial Park,,Parks,,#10 of 10 things to do in Williams Lake,,,
Hesquiat Peninsula Provincial Park,,Parks,,#1 of 1 things to do in Hot Springs Cove,,,
Ts'ilos Provincial Park,,Parks,,#5 of 6 things to do in Chilcotin District,,,
Team Academy,,Escape Games • Other Fun & Games,,#68 of 71 Fun & Games in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-s/0a/18/ad/c3/getlstd-property-photo.jpg),"Unique escape games in Vancouver. Clues, puzzles, secret codes, and excitement await you as you have to complete the game within the time limit! Discover the beauty of Vancouver as never before and experience the thrill of the city vibe in this amazing IQ Quest.",1-2 hours
Amazing Tans Giftshop,,Speciality & Gift Shops,,#22 of 22 Shopping in Tofino,,"We offer hand made Clothing, accessories and gifts using natural materials at reasonable prices. We offer beautiful handcrafted Island poetry and glassware.",< 1 hour
Pure Ellements Wellness,,Spas,,#4 of 4 Spas & Wellness in Langford,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/2c/d9/1a/real-westcoast-women.jpg),"Registered Massage Therapy, Registered Acupuncture and Traditional Chinese Medicine for perinatal, women's and family health. One of our dedicated and experienced professionals looks forward to helping serve your unique health needs.",1-2 hours
Sweet Maple Market,,Speciality & Gift Shops • Airport Shops,,#60 of 75 Shopping in Richmond,,"Sweet Maple Market is a store and cafe all in one! The store offers every item a traveler might need including: reading materials, snacks, bottled beverages, personal electronics, health and beauty aids as well as souvenirs.",
Pacific Shiatsu,,Health Clubs • Spas,,#44 of 46 Spas & Wellness in Victoria,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/08/4d/ee/c0/getlstd-property-photo.jpg),"Shiatsu, Japanese hands-on therapy, available in Victoria! Shiatsu, meaning 'finger pressure', is good for maintain your health, stimulates your immune system to improve natural healing ability in your body, loosens your muscles and increase range of motion at joints, reduces your mental / physical stress to prevent the risk of many illnesses etc... We offer First Visit discounted price: Regular Price ---> First Visit Price (tax included) $40 / 30min. ---> $30 $70 / 60min. ---> $60 $100 / 90min. ---> $90 Please try Shiatsu treatment with this opportunity!",< 1 hour
Designer Option,,Airport Shops,,#92 of 97 things to do in Richmond,,,
Gallerie Vancouver,,Airport Shops,,#93 of 97 things to do in Richmond,,"Featuring six popular, top-quality brand names in clothing and accessories, find today’s latest fashions trends with unparalleled selection and convenience. Choose from Kenneth Cole, Roots, Fossil, Thompson, Jack George or Columbia Sportswear – there’s something for every style and taste. Products include high-end outdoor wear, watches, leather goods and a range of clothing for men and women.",
Affordable Luxuries,,Airport Shops,,#95 of 97 things to do in Richmond,,"Find a wide selection of the quality products you want, and the low prices you need. Choose from an ever-changing stock of high fashion accessories, leather goods, belts, ties, jewellery, scarves, sunglasses, watches and other gift items and feel confident knowing that product quality is guaranteed for one year after purchase.",
Life is Good,,Airport Shops,,#87 of 97 things to do in Richmond,,"Building on a simple message of optimism, Life is good ®, one t-shirt turned into an international company featuring positive products. Customers can now shop from a wide selection of positively-messaged and branded t-shirts, hats, hooded sweatshirts, sleep wear and accessories that change with every season.",
