restaurant_name,rating,num_reviews,rank_in_city,cost,categories
Camelot Court Restaurant,4.0 of 5 bubbles,78,"#30, of 142 Restaurants in Prince George",$$ - $$$,"Italian,Diner,Canadian"
Black + Blue,4.5 of 5 bubbles,"2,700","#1, of 2,497 Restaurants in Vancouver",$$$$,"Steakhouse,Grill,Canadian"
Tokyo Japanese Cuisine,4.5 of 5 bubbles,49,"#29, of 142 Restaurants in Prince George",$$ - $$$,"Japanese,Sushi,Asian"
Gracie's Next Door,4.0 of 5 bubbles,33,"#6, of 34 Restaurants in Tsawwassen",$$ - $$$,"Mexican,Bar,Pub"
Maguro Sushi,4.0 of 5 bubbles,106,"#12, of 118 Restaurants in Delta",$$ - $$$,"Japanese,Sushi,Asian"
Earls,4.0 of 5 bubbles,372,"#30, of 205 Restaurants in Kamloops",$$ - $$$,"American,Bar,Canadian"
Scott's Inn & Restaurant in Kamloops,4.5 of 5 bubbles,215,"#29, of 205 Restaurants in Kamloops",$$ - $$$,"American,Diner,Canadian"
Otter Co-op,4.0 of 5 bubbles,119,"#58, of 211 Restaurants in Abbotsford",$$ - $$$,"Bar,Pub,Canadian"
Hearthstone Brewery,3.5 of 5 bubbles,71,"#81, of 299 Restaurants in North Vancouver",$$ - $$$,"Bar,Pizza,Pub"
Dakodas Pub,3.5 of 5 bubbles,60,"#171, of 349 Restaurants in Kelowna",$$ - $$$,"Pizza,Pub,Canadian"
Saltspring Wok Bar,3.5 of 5 bubbles,24,"#14, of 17 Restaurants in Ganges",$,"Asian,Thai,Vegetarian Friendly"
Vesuvius Cafe,4.0 of 5 bubbles,12,"#16, of 19 Restaurants in Salt Spring Island",$,"Cafe,Canadian"
D'Lanos Family Restaurant,3.5 of 5 bubbles,33,"#59, of 142 Restaurants in Prince George",$$ - $$$,"American,Canadian"
China Taste,3.5 of 5 bubbles,40,"#60, of 142 Restaurants in Prince George",$$ - $$$,"Chinese,Asian,Cantonese"
Salted Cracker,4.5 of 5 bubbles,8,"#58, of 142 Restaurants in Prince George",$$ - $$$,"Cafe,Soups"
Grand Trunk Tavern,4.0 of 5 bubbles,21,"#57, of 142 Restaurants in Prince George",$$ - $$$,"Bar,Seafood,Grill"
A&W,4.5 of 5 bubbles,8,"#10, of 34 Restaurants in Tsawwassen",,Canadian
Nara Korean & Japanese Restaurant,4.5 of 5 bubbles,35,"#61, of 205 Restaurants in Kamloops",$$ - $$$,"Japanese,Sushi,Asian"
Papa G's Cafe,4.5 of 5 bubbles,18,"#59, of 205 Restaurants in Kamloops",$$ - $$$,"Italian,Pizza,Seafood"
Original Joe's,4.0 of 5 bubbles,162,"#58, of 205 Restaurants in Kamloops",$$ - $$$,"American,Bar,Contemporary"
Doon Express,4.0 of 5 bubbles,17,"#9, of 14 Restaurants in Ladner",$$ - $$$,"Indian,Vegetarian Friendly"
McDonald's,3.0 of 5 bubbles,80,"#6, of 8 Quick Bites in Hope",$,"Quick Bites,American,Fast food"
Triple O's,3.0 of 5 bubbles,23,"#5, of 8 Quick Bites in Hope",$,"Quick Bites,American,Fast food"
ShipStones English Pub,2.5 of 5 bubbles,11,"#17, of 17 Restaurants in Ganges",$$ - $$$,"Bar,Seafood,Pub"
Salt Spring Vital Kitchen,0 reviews,0,"[None, None]",$,"Japanese,Indian,Asian"
Boston Pizza,3.5 of 5 bubbles,82,"#61, of 142 Restaurants in Prince George",$$ - $$$,"Pizza,Canadian,Vegetarian Friendly"
Subway,4.5 of 5 bubbles,3,"#90, of 142 Restaurants in Prince George",,Deli
Shawarma Palace,4.0 of 5 bubbles,27,"#165, of 679 Restaurants in Richmond",$,"Lebanese,Fast food,Middle Eastern"
The Clubhouse Bar & Grill,3.5 of 5 bubbles,4,"#19, of 19 Restaurants in Salt Spring Island",$$ - $$$,"Bar,Grill,Canadian"
Yellow Chilli,5.0 of 5 bubbles,2,"#43, of 118 Restaurants in Delta",,Indian
On The Go! Gelato,4.5 of 5 bubbles,3,"#18, of 34 Restaurants in Tsawwassen",$$ - $$$,
La Mezza Grill,4.0 of 5 bubbles,8,"#42, of 118 Restaurants in Delta",$$ - $$$,
Simply Pho,3.5 of 5 bubbles,13,"#17, of 34 Restaurants in Tsawwassen",$,"Asian,Vietnamese,Soups"
Asian Jazz Restaurant,3.5 of 5 bubbles,22,"#41, of 118 Restaurants in Delta",$$ - $$$,"Chinese,Asian,Cantonese"
Arigato Sushi Valleyview,4.0 of 5 bubbles,72,"#60, of 205 Restaurants in Kamloops",$$ - $$$,"Japanese,Sushi,Asian"
Traders Lounge,4.0 of 5 bubbles,72,"#20, of 24 Restaurants in Invermere",$$ - $$$,"Steakhouse,Bar,Contemporary"
Rustica Restaurant,4.0 of 5 bubbles,31,"#19, of 24 Restaurants in Invermere",$$$$,"American,Contemporary,Wine Bar"
Candyland,4.0 of 5 bubbles,33,"#4, of 5 Desserts in Invermere",$,"Dessert,Canadian"
Oriental Palace,3.5 of 5 bubbles,92,"#18, of 24 Restaurants in Invermere",$$ - $$$,"Chinese,Asian,Cantonese"
Begginnings Breakfast,5.0 of 5 bubbles,7,"#17, of 24 Restaurants in Invermere",$$ - $$$,Cafe
The Bistro Restaurant,3.5 of 5 bubbles,105,"#16, of 24 Restaurants in Invermere",$$ - $$$,"American,Diner,Canadian"
Booster Juice,3.5 of 5 bubbles,9,"#120, of 142 Restaurants in Prince George",$,"Fast food,Canadian"
Sushi Star Japanese Restaurant,3.0 of 5 bubbles,52,"#119, of 142 Restaurants in Prince George",$$ - $$$,"Japanese,Sushi,Asian"
Montana's,3.0 of 5 bubbles,79,"#23, of 34 Restaurants in Tsawwassen",$$ - $$$,"American,Southwestern,Bar"
Triple O's,4.5 of 5 bubbles,3,"#65, of 118 Restaurants in Delta",,
Harry's Fish And Chips,5.0 of 5 bubbles,1,"#22, of 34 Restaurants in Tsawwassen",,
Ice Breakers Bar & Grill,4.5 of 5 bubbles,3,"#64, of 118 Restaurants in Delta",$$ - $$$,
Hadi's Restaurant,4.5 of 5 bubbles,6,"#63, of 118 Restaurants in Delta",$,
Tilbury Restaurant,3.5 of 5 bubbles,7,"#62, of 118 Restaurants in Delta",$,
Poutine Queen,3.5 of 5 bubbles,3,"#24, of 24 Restaurants in Invermere",$,American
Tim Hortons,3.5 of 5 bubbles,38,"#7, of 7 Quick Bites in Invermere",$,"Quick Bites,Fast food,Canadian"
Dairy Queen,3.5 of 5 bubbles,36,"#5, of 5 Desserts in Invermere",,
Subway,3.5 of 5 bubbles,14,"#23, of 24 Restaurants in Invermere",$,"Fast food,Canadian"
Scotty Burger,3.5 of 5 bubbles,13,"#22, of 24 Restaurants in Invermere",,"Fast food,Canadian"
Pizza 2 Go,4.5 of 5 bubbles,7,"#21, of 24 Restaurants in Invermere",$$ - $$$,Pizza
Kisha Poppo,3.5 of 5 bubbles,81,"#359, of 679 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian"
Kings Links,3.5 of 5 bubbles,13,"#61, of 118 Restaurants in Delta",$$ - $$$,"Bar,Pub,Canadian"
Subway,0 reviews,0,"[None, None]",,"American,Deli"
Subway,0 reviews,0,"[None, None]",,
A&W Restaurant,0 reviews,0,"[None, None]",,"American,Fast food"
Second Cup Coffee Co.,0 reviews,0,"[None, None]",,
Monte Cristo Bakery,4.0 of 5 bubbles,1,"#79, of 118 Restaurants in Delta",,
Madhouse Pizza,3.5 of 5 bubbles,2,"#80, of 118 Restaurants in Delta",,
Vina Vietnamese,3.5 of 5 bubbles,3,"#28, of 34 Restaurants in Tsawwassen",,
Boston Pizza,4.0 of 5 bubbles,2,"#479, of 679 Restaurants in Richmond",,Pizza
Nando's Coppersmith (Ironwood),4.0 of 5 bubbles,1,"#476, of 679 Restaurants in Richmond",,"European,Portuguese"
Taco Del Mar,3.5 of 5 bubbles,7,"#473, of 679 Restaurants in Richmond",$,Mexican
Happy Singh Street Eats,3.5 of 5 bubbles,2,"#78, of 118 Restaurants in Delta",,"Chinese,Indian,Pizza,Fusion"
Wendy's,3.5 of 5 bubbles,7,"#27, of 34 Restaurants in Tsawwassen",,
Pinch of Spice,3.5 of 5 bubbles,26,"#76, of 118 Restaurants in Delta",$$ - $$$,"Indian,Vegetarian Friendly"
Mary Brown’s Chicken & Taters,3.5 of 5 bubbles,3,"#77, of 118 Restaurants in Delta",,
Quiznos,0 reviews,0,"[None, None]",,
Tim Hortons,0 reviews,0,"[None, None]",,
Buskers Rock Merch & Venue,0 reviews,0,"[None, None]",$$ - $$$,"American,Diner,Healthy"
Pizza Hut Tsawwassen,3.5 of 5 bubbles,3,"#75, of 118 Restaurants in Delta",,
Tienda Latina,5.0 of 5 bubbles,1,"#74, of 118 Restaurants in Delta",,Mexican
Taco Bell,5.0 of 5 bubbles,1,"#73, of 118 Restaurants in Delta",,Mexican
Kennedy's Sports Pub,3.5 of 5 bubbles,20,"#72, of 118 Restaurants in Delta",$,"Bar,Pub"
Harrys Fish & Chips,4.0 of 5 bubbles,1,"#26, of 34 Restaurants in Tsawwassen",,British
Blue Canoe,4.0 of 5 bubbles,569,"#13, of 679 Restaurants in Richmond",$$ - $$$,"Bar,Seafood,Canadian"
Freshslice,5.0 of 5 bubbles,4,"#98, of 118 Restaurants in Delta",$,Pizza
Wings,3.0 of 5 bubbles,2,"#32, of 34 Restaurants in Tsawwassen",,American
Tilbury Sports Grill,3.0 of 5 bubbles,1,"#93, of 118 Restaurants in Delta",,
Family Pizza House,4.5 of 5 bubbles,3,"#71, of 118 Restaurants in Delta",,"Italian,Pizza,Fast food"
Donair Affair,3.0 of 5 bubbles,5,"#97, of 118 Restaurants in Delta",,
Rosemary Rocksalt,3.0 of 5 bubbles,2,"#551, of 679 Restaurants in Richmond",$$ - $$$,Cafe
Delice Pizza & Pasta,3.0 of 5 bubbles,1,"#93, of 118 Restaurants in Delta",,
Himalaya Restaurant,3.0 of 5 bubbles,1,"#93, of 118 Restaurants in Delta",,
The Chopped Leaf,3.0 of 5 bubbles,2,"#93, of 118 Restaurants in Delta",,Deli
Shanghai 360,3.0 of 5 bubbles,1,"#31, of 34 Restaurants in Tsawwassen",,"Chinese,Asian"
Quiznos,3.0 of 5 bubbles,2,"#92, of 118 Restaurants in Delta",,
Subway,3.0 of 5 bubbles,6,"#91, of 118 Restaurants in Delta",$,Fast food
Panago Pizza,3.5 of 5 bubbles,10,"#90, of 118 Restaurants in Delta",$,Pizza
Quiznos,3.5 of 5 bubbles,2,"#89, of 118 Restaurants in Delta",,
Apollo Pizza,3.0 of 5 bubbles,19,"#88, of 118 Restaurants in Delta",$,"Italian,Pizza,Fast food"
Bubble Waffle Cafe,3.5 of 5 bubbles,4,"#544, of 679 Restaurants in Richmond",,
Sushi Wara,3.0 of 5 bubbles,14,"#86, of 118 Restaurants in Delta",,"Japanese,Sushi,Asian"
Arby's,3.5 of 5 bubbles,4,"#30, of 34 Restaurants in Tsawwassen",$,Fast food
Tidewaters Pub,3.0 of 5 bubbles,13,"#87, of 118 Restaurants in Delta",$$ - $$$,"Bar,Pub,Canadian"
Hang Lee Wok,3.5 of 5 bubbles,2,"#85, of 118 Restaurants in Delta",,Chinese
Gami Sushi,4.0 of 5 bubbles,59,"#37, of 679 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian"
Ember Indian Kitchen,4.0 of 5 bubbles,64,"#48, of 679 Restaurants in Richmond",$$ - $$$,"Indian,African,Vegetarian Friendly"
The Cabin,4.0 of 5 bubbles,351,"#5, of 668 Restaurants in Surrey",$$ - $$$,"Seafood,Canadian,Vegetarian Friendly"
Tim Hortons,2.5 of 5 bubbles,5,"#33, of 34 Restaurants in Tsawwassen",,
New Ruby Restaurant,3.0 of 5 bubbles,21,"#108, of 118 Restaurants in Delta",$$ - $$$,"Chinese,Asian,Szechuan"
Kove Kitchen,4.0 of 5 bubbles,119,"#30, of 679 Restaurants in Richmond",$$ - $$$,"American,Bar,Canadian"
Ginger Indian Cuisine,4.0 of 5 bubbles,27,"#84, of 679 Restaurants in Richmond",$$ - $$$,"Indian,Asian,Vegetarian Friendly"
Sara's Old Fashioned Ice Cream,3.0 of 5 bubbles,5,"#107, of 118 Restaurants in Delta",,
Ichiro Japanese Restaurant,4.0 of 5 bubbles,130,"#25, of 679 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian"
Kirin Seafood Restaurant,4.0 of 5 bubbles,226,"#19, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian"
Roundtable Pizza,4.0 of 5 bubbles,71,"#47, of 679 Restaurants in Richmond",$,"Pizza,Canadian"
Flying Beaver Bar & Grill,4.0 of 5 bubbles,"1,152","#5, of 679 Restaurants in Richmond",$$ - $$$,"American,Bar,Pub"
Opa! Of Greece,2.0 of 5 bubbles,1,"#639, of 679 Restaurants in Richmond",,
Sky Hawk,3.0 of 5 bubbles,12,"#106, of 118 Restaurants in Delta",$$ - $$$,"Diner,Canadian"
The Canadian Brewhouse & Grill,4.5 of 5 bubbles,132,"#10, of 679 Restaurants in Richmond",$$ - $$$,"Bar,Grill,Pub"
Steveston Village Vietnamese Restaurant,4.0 of 5 bubbles,61,"#69, of 679 Restaurants in Richmond",$$ - $$$,"Asian,Vietnamese,Soups"
Mac's Store,5.0 of 5 bubbles,1,"#474, of 679 Restaurants in Richmond",,Cafe
Mega Sushi,4.5 of 5 bubbles,133,"#17, of 679 Restaurants in Richmond",$$ - $$$,"Japanese,Sushi,Asian"
Horn of Plenty Cafe,4.5 of 5 bubbles,81,"#1, of 15 Restaurants in Agassiz",$,"American,Cafe,Canadian"
Village Sushi Bar,4.5 of 5 bubbles,19,"#92, of 679 Restaurants in Richmond",$,"Japanese,Sushi,Asian"
Adorabelle,4.5 of 5 bubbles,45,"#49, of 679 Restaurants in Richmond",$$ - $$$,"British,Vegetarian Friendly,Gluten Free Options"
Tim Hortons,2.0 of 5 bubbles,3,"#114, of 118 Restaurants in Delta",,
Wang Ji,4.0 of 5 bubbles,13,"#182, of 679 Restaurants in Richmond",$$ - $$$,Chinese
Round Table Pizza Richmond,4.5 of 5 bubbles,11,"#159, of 679 Restaurants in Richmond",$,Pizza
Dinesty Chinese Restaurant,4.0 of 5 bubbles,153,"#27, of 679 Restaurants in Richmond",$$ - $$$,"Chinese,Asian,Shanghai"
Britannia Brewpub Steveston,4.0 of 5 bubbles,64,"#58, of 679 Restaurants in Richmond",$$ - $$$,"Bar,Pub,Canadian"
Moxie's Grill & Bar,4.0 of 5 bubbles,319,"#15, of 679 Restaurants in Richmond",$$ - $$$,"American,Bar,Canadian"
