attraction_name,attraction_rating,attraction_category,num_reviews,rank_in_city,photo,about,suggested_duration
Stanley Park,4.5,Parks,"28,783",#1 of 402 things to do in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/10/a6/09/9f/beautiful-view-of-stanley.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">I went to the Stanley Park in the morning on 19 June 05 and spent a whole day there. It is the perfect place to escape from city life. There is a lot of greenery. There are also many people cycling, jogging, rollerblading or strolling along the seawall. The beaches and playground are also very popular with families with kids.  <br><br>Traveling round the park<br>*********************<br>I took the free shuttle bus which stop at different popular locations round the park. You can hop in and out at any of these stops. I remembered one of the shuttle bus driver (a lady with plaits) was very friendly and gave a very lively commentary about the attractions of each sight and stop. However, she was the only driver that gave commentary. The rest of the drivers in the other shuttle buses did not give any commentary at all. I really feel that her company should give her a salary raise for her passion in her job. =) I enjoy her commentary so much that I took her last shuttle round the park. The last service is around 6:30pm.   <br><br>Wildlife<br>******<br>The park is home to many wildlife too, ie racoons, hares, squirrels and geese. I took a stroll from the information counter taking the Brockton Point Trial walkway to the totem poles. Along the way I saw this wild black hare, a distance away from me. When I took out my camera to take a picture of it, it hopped towards me. I guess it did not want its picture taken...=( I spotted a racoon at Prospect Point. It loved the camera and would even posed for you to take pictures. =) But, please do not touch or feed these wild animals. <br><br>Main Interesting sights<br>*******************<br>Vancouver Aquarium- I will write a review of this in its page itself.<br><br>Prospect Point- Beautiful view of Lions Gate Bridge and the North/ West Vancouver's mountains with the English Bay.    <br><br>Girl in a wet suit- This is a statue of a girl sitting on a rock. The amusing thing I find is that the sea birds seems to like this statue very much... see my photo. <br><br>Totem Poles- Here you will find besides the totem poles, horde of tourists round the globe young and old, busy posing and taking pictures. What a sight! But, I think it is still worth to come here to appreciate Stanley Park's history, which is home to the First Nations. There is a small area next to the gift shop with explanations of the significance of the totem poles to the First Nations. In front of the totem poles, there are signage explaining the details of each totem poles. <br><br>Well, I feel that this park is a must visit for those who come to Vancouver. A very interesting and relaxing park indeed!</span></div>",2-3 hours
Station House Gallery & Gift Shop,4.5,Art Galleries,21,#3 of 10 things to do in Williams Lake,background-image:url(https://media-cdn.tripadvisor.com/media/photo-s/02/fa/d0/cf/getlstd-property-photo.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Beaver Harbour Park (Storey's Beach),4.5,Parks,9,#5 of 14 things to do in Port Hardy,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0e/b6/67/16/beaver-harbour-park-storey.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">This is a very pretty beach with beautiful island and ocean views. If you are looking for a place to sit in the sun or enjoy the ocean, this is a great spot.</span></div>",More than 3 hours
Great Northern Snowcat Skiing,4.5,Ski & Snowboard Areas,28,#23 of 31 things to do in Revelstoke,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/16/9c/b0/7a/trout-lake-terrain.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">First time powder skiing. I took my 14 year old son with me.  For the first day I was very grateful to have a tail-guide as well as the lead-guide: I needed assistance to get up from the deep powder. Also happy to have the benefits of her experience in terms of managing the deep powder. I also enjoyed the pace of the day: plenty of skiing with the relaxing trip back up in the cat.  The experience was excellent in all aspects:  the staff highly professional, the accommodations were fine, and the food of excellent quality.</span></div>",
Powell River Historical Museum & Archives,4.5,Speciality Museums,35,#4 of 20 things to do in Powell River,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1d/77/97/15/the-main-exhibit-building.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">My first trip to Powell River and I thought ""I wonder if I can find out anything about my grandfather who passed away before I was born?"" With the help of both the museum and archives staff I started by searching a 1938 phone book and I located his address. I then looked through some newspapers from the 1930's and found his name mentioned several times. I also looked through old high school annuals from 1939 and 1940 to see if I could locate information about my late mother who was born in 1924 and grew up here. Unfortunately back in the day, the students were not listed in these annuals in alphabetical order, so I could locate anything in the time I had. To finish, I decided to leave the museum and archives to drive over and see the house. The staff let me know that the street addresses were revised from 3 to 4 digit addresses some years ago, so before heading out they assisted me in finding the updated address. Soon after, I was in the historical townsite on Maple Avenue having a look at the house were my mother grew up. A fun activity on my first trip to Powell River!</span></div>",< 1 hour
Linley Valley Cottle Lake Park,5.0,Parks,6,#32 of 69 things to do in Nanaimo,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/16/e7/f2/f0/from-the-top-of-cottle.jpg),,
Port Kells Nurseries,4.5,Gardens,20,#12 of 46 things to do in Surrey,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/85/91/76/photo4jpg.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Always a great selection.  Friendly, knowledgeable, helpful staff. Good specials too!  Prices are fair for the quality you are getting.</span></div>",< 1 hour
Vaseux Lake Provincial Park,4.0,Biking Trails • Parks • Hiking Trails,47,#8 of 18 things to do in Okanagan Falls,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/06/5a/2d/09/lake-view-from-our-site.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Quiet lake with lots of fish and birds. Delighted that it is a non-motorized Lake. Have seen tundra swans, common loons, a wide variety of ducks, American coots, bald eagles and so many songbirds. </span></div>",
Yard Creek Provincial Park,4.5,Parks,9,#2 of 3 things to do in Malakwa,background-image:url(https://media-cdn.tripadvisor.com/media/photo-s/04/32/25/a5/getlstd-property-photo.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Lots of quiet, unserviced campsites. 50's era campground, so the sites are not suitable for big rigs. I like quiet and separation, so this was perfect for my small camper.</span></div>",
W.A.C. Bennett Dam Visitor Centre,4.5,Visitor Centres,42,#1 of 8 things to do in Hudson's Hope,background-image:url(https://media-cdn.tripadvisor.com/media/photo-c/768x250/0c/73/85/fd/wac-bennett-dam-visitor.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">We all know something about how hydroelectric power is generated. This wonderful tour is awesome in scope and easy to understand. You will go inside the dam, then drive across it. The scale is astonishing. Everyone will learn something new. Our guide was so enthusiastic--it was infectious. <br>There's a lovely picnic spot--we saw a family gathering there, everyone enjoying the shady trees. <br>My friend wanted to go-- I was, like whatever, but went along. Why not? <br>This turned out to be a great experience. Highly recommend especially for kids. It's fun.</span></div>",
"Hand of Man - Museum of Natural History, Cultural Arts & Conservation",4.5,Natural History Museums • Science Museums • Art Museums,61,#7 of 33 things to do in Duncan,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/17/59/99/4d/a-young-girl-and-her.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",1-2 hours
Columbia River Skywalk,4.5,Bridges,26,#2 of 14 things to do in Trail,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/13/32/47/5f/skywalk-3.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Now that the weather has turned into spraying I often walk my dog along here. It's peaceful as there aren't very many people. The river is wonderful to watch</span></div>",< 1 hour
Mustang Powder,5.0,Ski & Snowboard Areas,25,#19 of 31 things to do in Revelstoke,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0d/ec/cb/d8/bluebird-conditions-last.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">This was my second year in a row coming to Mustang Powder and upon departure I signed up again for next year.<br><br>If you are an advanced/expert skier looking for steep and deep, this is the place for you.  They offer a wonderful ski experience - friendly staff, huge and varied terrain that allows them to still find fresh tracks two weeks after a snowfall. Public areas of the lodge are very nice and guest rooms are basic but clean and comfortable.<br><br>Tips:<br>1) If you don't own powder skis, they have a large supply of excellent fat skis for $35 per day<br>2) You need to be comfortable skiing through trees to enjoy this resort<br>3) No cell phone coverage but they do offer a sattelite phone ($1.00 per minute) and fairly slow wireless Internet.  Some people were able to use Skype.<br>4) If you are expert skier sign up for ""small groups steep chutes""</span></div>",
Harper Mountain Ski and Snowboard Hill,4.5,Ski & Snowboard Areas,45,#12 of 52 things to do in Kamloops,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0e/02/e1/60/photo1jpg.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Went with the grandkids and friends had an excellent time. This mountain is close to Kamloops and has an amazing family atmosphere. Check it out. Be cool have fun.</span></div>",
The Local Harvest Market,4.5,Farms,9,#20 of 48 things to do in Chilliwack,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0e/d8/e0/ff/the-local-harvest-market.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">What a great market in Chilliwack. Lots for fresh produce, spices, plants, meats, cheeses, jams, honey etc.<br>The locals all shop here so that is a good sign.<br>We bought fresh breads, cold cuts &amp; cheeses to eat in our hotel room instead of going out. <br>It was a good choice to stop there. We would recommend shopping here. </span></div>",1-2 hours
Mount Kobau,4.5,Mountains • Lookouts,16,#15 of 34 things to do in Osoyoos,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/13/56/53/a2/stunning-views-and-wildflowers.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Drove to this trail - about 40 minutes on a bumpy washboard road but very manageable.  <br>We did the 3km loop (Chopaka Lookout Loop) and highly recommend.  It took us about an hour to complete and we loved the views throughout.  There were areas that were very easy and flat and others with a good climb but it was doable.  Well worth the trip.  The trail was well marked as well.   A definite highlight of our trip!</span></div>",2-3 hours
Morrell Sanctuary,4.5,Nature & Wildlife Areas,39,#20 of 69 things to do in Nanaimo,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/06/4c/af/93/morrell-sanctuary.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">You are very near to the town here but it feels like you are well away from any hustle and bustle.There's a free car park and small information centre, also a pit toilet. There are various length of walks and very, very large trees. There was recent sightings of black bear while we were there. So go around making some noise so as not to frighten a bear. Don't run if you see one, make yourself look big and it should run away!!</span></div>",
West Dyke Recreational Trail,4.5,Biking Trails • Hiking Trails,29,#18 of 97 things to do in Richmond,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/15/d1/2f/06/west-dyke-recreational.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Nice flat, wide gravel trail - goes on for ever!  Wetlands with grazing cattle on one side.  Historical signs are interesting.</span></div>",1-2 hours
Mysekai Hair,,Spas,16,#129 of 229 Spas & Wellness in Vancouver,,,
Juice Salon and Esthetics,,Spas,16,#128 of 229 Spas & Wellness in Vancouver,,,
Victoria Pier,4.5,Piers & Boardwalks • Lighthouses,292,#10 of 146 things to do in Victoria,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/04/95/44/56/victoria-pier.jpg),"<div class=""WlYyy diXIH dDKKM""><span class=""NejBf"">Victoria Pier is such a lovely place,It was nice to see so  many Boats &amp; Yachts in the waters.<br>We had to rush from here, due to lack of time, but the visit was worthwhile.<br>Lots of lovely restaurants &amp; shops,.<br>A must visit if you are in this area.</span></div>",
SLS Nails Studio,,Spas,16,#130 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Feet Fun,,Spas,16,#138 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Bare Wax Bar,,Spas,16,#136 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Poised Nail Lounge & Spa,,Spas,16,#145 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Sole Spa,,Spas,16,#117 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Sole Spa,,Spas,135,#2 of 9 Spas & Wellness in West Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Civello,,Spas,16,#119 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Raincoast Therapeutic,,Spas,16,#121 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Bombay Brow Bar,,Spas,16,#132 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Shock Entertainment Ltd,,Game & Entertainment Centres,667,#35 of 35 Fun & Games in Richmond,,,1-2 hours
Blue Ocean Wellness Spa,,Spas,16,#133 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/1c/ec/b6/ed/up-the-ramp-beside-bayshore.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Wave Bodywork,,Spas,16,#134 of 229 Spas & Wellness in Vancouver,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/1b/09/b9/2f/melanie-requet-is-a-certified.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Kitsilano Massage Therapy Clinic,,Spas,16,#141 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
J Natural Spa,,Spas,16,#139 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Snowy Mountain Alpine Tours,,Ski & Snow Tours,,#1 of 1 Outdoor Activities in Rogers Pass,,,
EarthRoots Massage & Wellness,,Yoga & Pilates • Spas,2,#13 of 21 Spas & Wellness in Surrey,background-image:url(https://media-cdn.tripadvisor.com/media/photo-o/12/07/67/08/relaxing-treatment-room.jpg),,1-2 hours
Beauty Box Esthetics,,Spas,16,#142 of 229 Spas & Wellness in Vancouver,,,
Dona Lucia Esthetics Salon,,Spas,16,#144 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
YV Reflexology,,Spas,16,#146 of 229 Spas & Wellness in Vancouver,,,< 1 hour
Fort Langley Makers Market,,Flea & Street Markets,2,#20 of 20 things to do in Fort Langley,,,1-2 hours
Tuskast Icelandic Horse Farm,,Horseback Riding Tours,2,#3 of 3 Outdoor Activities in Merritt,,,
Life Luxe Spa,,Spas,16,#216 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Saanich Peninsula Chamber of Commerce Information Centre,,Visitor Centres,737,#11 of 13 things to do in North Saanich,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/13/0a/a3/ef/saanich-peninsula-information.jpg),"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",< 1 hour
Serene Massage Therapy,,Spas,16,#155 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Wax Hair Removal Bar,,Spas,16,#150 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Rose Nails & Spa,,Spas,16,#158 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Sweet Maple Market,,Speciality & Gift Shops • Airport Shops,667,#60 of 75 Shopping in Richmond,,,
Energy Wellness Spa,,Spas,16,#164 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",
Lotus Beauty Spa,,Spas,16,#165 of 229 Spas & Wellness in Vancouver,,"<div class=""WlYyy diXIH dDKKM"">Restaurants</div>",
Iron Oxide Art Supplies,,Speciality & Gift Shops,737,#34 of 35 Shopping in Nanaimo,background-image:url(https://media-cdn.tripadvisor.com/media/photo-w/0b/57/ab/a9/getlstd-property-photo.jpg),"<div class=""WlYyy diXIH dDKKM"">Attractions</div>",< 1 hour
Gifts of the Raven,,Airport Shops,667,#88 of 97 things to do in Richmond,,,
,,,,,,,
New Age Insights,,Speciality & Gift Shops,102,#4 of 4 Shopping in Smithers,,,
