NAME,CATEGORY,SUBCATEGORY,LON,LAT,
Gilmore,TRANSPORT,SUBWAY,-123.013418,49.2650043,
VCC-Clark,TRANSPORT,SUBWAY,-123.07896740000001,49.265819400000005,
Renfrew,TRANSPORT,SUBWAY,-123.04555620000001,49.258930500000005,
Patterson,TRANSPORT,SUBWAY,-123.01273610000001,49.229748900000004,
Main Street–Science World,TRANSPORT,SUBWAY,-123.1004436,49.2731524,
Cook Street Village,SETTLEMENTS,HAMLET,-123.356487,48.414575500000005,
Cadboro Bay Village,SETTLEMENTS,HAMLET,-123.29700140000001,48.4613863,
Palmer (Fort Victoria),TRANSPORT,STATION,-123.44289210000001,48.4601659,
Haultain Corners,SETTLEMENTS,HAMLET,-123.3397621,48.4361545,
Friday Harbor,TRANSPORT,FERRYTERMINAL,-123.0139853,48.5356777,
Victoria,SETTLEMENTS,CITY,-123.36495330000001,48.4283182,
Central Library,PUBLICSERVICE,LIBRARY,-123.3641874,48.423046600000006,
Elkford,SETTLEMENTS,TOWN,-114.9218261,50.024455800000005,
Victoria Inner Harbour Airport,TRANSPORT,AIRPORT,-123.39042210000001,48.425330100000004,
North Park Bicycle Shop,SHOP,BICYCLE,-123.3584491,48.429679,
Ladysmith,SETTLEMENTS,TOWN,-123.81579640000001,48.9936579,
Jubilee,PUBLICSERVICE,POSTOFFICE,-123.32927910000001,48.429770100000006,
Turtle Hostel,ACCOMMODATION,HOSTEL,-123.359193,48.4283209,
Shoppers Drug Mart,HEALTH,PHARMACY,-123.33501100000001,48.427097100000005,
I.D.A,HEALTH,PHARMACY,-123.36661160000001,48.424663,
Oak Bay Police Department,PUBLICSERVICE,POLICE,-123.312786,48.4292942,
Villages Pizza,EAT/DRINK,FASTFOOD,-123.4453148,48.575548500000004,
Cape Roger Curtis Lighthouse,TOURISM,LIGHTHOUSE,-123.4328584,49.339962,
Prince George,SETTLEMENTS,CITY,-122.74536990000001,53.912864500000005,
Prince George Airport,TRANSPORT,AIRPORT,-122.67500100000001,53.88471740000001,
Port Edward,SETTLEMENTS,VILLAGE,-130.2921229,54.224649600000006,
Tofino,SETTLEMENTS,VILLAGE,-125.90470830000001,49.1529643,
Bamfield,SETTLEMENTS,VILLAGE,-125.14114400000001,48.833086,
Port Alberni,SETTLEMENTS,CITY,-124.80565170000001,49.234366800000004,
Christie's Carriage House Pub,EAT/DRINK,PUB,-123.3310493,48.4288906,
Trout Lake,SETTLEMENTS,HAMLET,-117.54077090000001,50.64562230000001,
Crescent Valley,SETTLEMENTS,VILLAGE,-117.5573798,49.4466502,
Spillimacheen,SETTLEMENTS,VILLAGE,-116.36698100000001,50.908477700000006,
Poplar Creek,SETTLEMENTS,HAMLET,-117.13333300000001,50.416667000000004,
Cranbrook,SETTLEMENTS,CITY,-115.76727720000001,49.5107477,
Argenta,SETTLEMENTS,HAMLET,-116.941934,50.1966435,
Fernie,SETTLEMENTS,CITY,-115.06286700000001,49.5041747,
Arrowhead,SETTLEMENTS,HAMLET,-117.916667,50.7,
Kaslo,SETTLEMENTS,VILLAGE,-116.90502420000001,49.910636200000006,
Croydon Station,SETTLEMENTS,HAMLET,-119.73516380000001,53.0769522,
Kimberley,SETTLEMENTS,CITY,-115.9819477,49.6850876,
Fruitvale,SETTLEMENTS,VILLAGE,-117.55000000000001,49.116667,
Blue River,SETTLEMENTS,VILLAGE,-119.30589730000001,52.107694,
Gerrard,SETTLEMENTS,HAMLET,-117.28333300000001,50.516667000000005,
Blaeberry,SETTLEMENTS,HAMLET,-117.0500085,51.433333000000005,
Fauquier,SETTLEMENTS,VILLAGE,-118.0723997,49.8714919,
Ferguson,SETTLEMENTS,HAMLET,-117.4767463,50.6770549,
Osoyoos,SETTLEMENTS,TOWN,-119.466667,49.033333000000006,
Yahk,SETTLEMENTS,VILLAGE,-116.10000720000001,49.083333100000004,
Moyie,SETTLEMENTS,HAMLET,-115.83320610000001,49.288158200000005,
Skookumchuck,SETTLEMENTS,HAMLET,-115.73262260000001,49.912719900000006,
Wardner,SETTLEMENTS,VILLAGE,-115.42296610000001,49.4164576,
Vallican,SETTLEMENTS,HAMLET,-117.65102680000001,49.5639697,
Radium Hot Springs,SETTLEMENTS,VILLAGE,-116.0760592,50.6200728,
Field,SETTLEMENTS,VILLAGE,-116.4891525,51.3961113,
Slocan,SETTLEMENTS,VILLAGE,-117.4660927,49.767825,
Fairmont Hot Springs,SETTLEMENTS,VILLAGE,-115.86169450000001,50.3377592,
Nakusp,SETTLEMENTS,TOWN,-117.79740310000001,50.239611100000005,
Kinnaird,SETTLEMENTS,SUBURB,-117.64999250000001,49.2833352,
Procter,SETTLEMENTS,VILLAGE,-116.9613815,49.6170467,
Squilax,SETTLEMENTS,VILLAGE,-119.5950959,50.8695681,
Tappen,SETTLEMENTS,HAMLET,-119.33333300000001,50.783333000000006,
Balfour,SETTLEMENTS,VILLAGE,-116.961725,49.624937,
Nelson,SETTLEMENTS,CITY,-117.29003900000001,49.494891,
Cherryville,SETTLEMENTS,VILLAGE,-118.61860100000001,50.2446399,
Ootischenia,SETTLEMENTS,VILLAGE,-117.6283082,49.285053600000005,
Lumby,SETTLEMENTS,VILLAGE,-118.96560070000001,50.2501374,
Seymour Arm,SETTLEMENTS,VILLAGE,-118.9449915,51.2392936,
Beaton,SETTLEMENTS,HAMLET,-117.7288065,50.7350677,
Albert Canyon,SETTLEMENTS,HAMLET,-117.8587646,51.1351153,
Windermere,SETTLEMENTS,VILLAGE,-115.9898321,50.463717900000006,
Golden,SETTLEMENTS,TOWN,-116.9642785,51.2982585,
Pinantan Lake,SETTLEMENTS,HAMLET,-120.0338638,50.7301304,
Peachland,SETTLEMENTS,TOWN,-119.75000000000001,49.766667000000005,
Salmon Arm,SETTLEMENTS,TOWN,-119.27905290000001,50.7005059,
Chase,SETTLEMENTS,VILLAGE,-119.68617730000001,50.8193356,
Oliver,SETTLEMENTS,TOWN,-119.55000000000001,49.183333000000005,
Shoreacres,SETTLEMENTS,VILLAGE,-117.5279357,49.4301801,
Fort Steele,SETTLEMENTS,HAMLET,-115.63333300000001,49.616667,
Castlegar,SETTLEMENTS,CITY,-117.66357400000001,49.316171000000004,
Keremeos,SETTLEMENTS,VILLAGE,-119.82452260000001,49.2074507,
Bull River,SETTLEMENTS,HAMLET,-115.4457349,49.467329400000004,
Malakwa,SETTLEMENTS,VILLAGE,-118.79368670000001,50.9377506,
Sicamous,SETTLEMENTS,TOWN,-118.9826386,50.8367991,
Carmi,SETTLEMENTS,HAMLET,-119.1242294,49.494745300000005,
Midway,SETTLEMENTS,VILLAGE,-118.782779,49.01299,
Brisco,SETTLEMENTS,HAMLET,-116.2698807,50.827938700000004,
Natal,SETTLEMENTS,HAMLET,-114.8500044,49.7333374,
McConnel,SETTLEMENTS,HAMLET,-116.3333379,49.1500051,
Cascade,SETTLEMENTS,VILLAGE,-118.2053707,49.0186213,
New Denver,SETTLEMENTS,VILLAGE,-117.37718360000001,49.990330900000004,
Gray Creek,SETTLEMENTS,HAMLET,-116.78455520000001,49.6256635,
Hosmer,SETTLEMENTS,HAMLET,-114.9650553,49.588245400000005,
Needles,SETTLEMENTS,HAMLET,-118.1034017,49.8726647,
Rossland,SETTLEMENTS,TOWN,-117.79990260000001,49.078475600000004,
Rock Creek,SETTLEMENTS,VILLAGE,-118.998632,49.058078,
Boswell,SETTLEMENTS,HAMLET,-116.76412260000001,49.461546000000006,
Lardeau,SETTLEMENTS,HAMLET,-116.95268770000001,50.1454425,
Eholt,SETTLEMENTS,HAMLET,-118.5666709,49.150001100000004,
Edgewood,SETTLEMENTS,VILLAGE,-118.14403410000001,49.7812004,
Summerland,SETTLEMENTS,TOWN,-119.666667,49.6,
Elko,SETTLEMENTS,VILLAGE,-115.1166707,49.300004300000005,
Salmo,SETTLEMENTS,TOWN,-117.2787054,49.1934431,
Corbin,SETTLEMENTS,HAMLET,-114.675717,49.517482,
Canal Flats,SETTLEMENTS,VILLAGE,-115.8076908,50.1596927,
Monte Creek,SETTLEMENTS,VILLAGE,-119.95028090000001,50.650209200000006,
Vernon,SETTLEMENTS,CITY,-119.2718157,50.266867100000006,
Riondel,SETTLEMENTS,HAMLET,-116.8570823,49.7619884,
Esquimalt,SETTLEMENTS,TOWN,-123.41360490000001,48.429905100000006,
Crofton,SETTLEMENTS,SUBURB,-123.644812,48.860860800000005,
Saseenos Station,SETTLEMENTS,HAMLET,-123.68778900000001,48.3890042,
Shawnigan Lake,SETTLEMENTS,VILLAGE,-123.62297910000001,48.653812800000004,
Sooke,SETTLEMENTS,TOWN,-123.73151770000001,48.3825724,
Brentwood Bay,SETTLEMENTS,HAMLET,-123.46169510000001,48.572302900000004,
Youbou,SETTLEMENTS,VILLAGE,-124.194946,48.872845000000005,
Malahat,SETTLEMENTS,HAMLET,-123.569135,48.562879,
Sidney,SETTLEMENTS,TOWN,-123.39832460000001,48.650578800000005,
Port Renfrew,SETTLEMENTS,VILLAGE,-124.41741900000001,48.550251,
Langford,SETTLEMENTS,CITY,-123.5046662,48.4497693,
Fulford Harbour,SETTLEMENTS,VILLAGE,-123.44924900000001,48.769767,
Ganges,SETTLEMENTS,TOWN,-123.506725,48.855023200000005,
Mayne,SETTLEMENTS,VILLAGE,-123.30000000000001,48.85,
Lake Cowichan,SETTLEMENTS,TOWN,-124.05628150000001,48.825948600000004,
Cowichan Bay,SETTLEMENTS,VILLAGE,-123.62640400000001,48.741701000000006,
Cobble Hill,SETTLEMENTS,VILLAGE,-123.600311,48.683708,
Metchosin,SETTLEMENTS,TOWN,-123.53523480000001,48.3796009,
Nakina,SETTLEMENTS,TOWN,-132.8,59.2,
Hanceville,SETTLEMENTS,TOWN,-123.03408400000001,51.917163300000006,
Roberts Creek,SETTLEMENTS,TOWN,-123.64193700000001,49.421258300000005,
McDame,SETTLEMENTS,TOWN,-129.23333300000002,59.183333000000005,
Pitt Meadows,SETTLEMENTS,TOWN,-122.69015340000001,49.220762300000004,
Bralorne,SETTLEMENTS,HAMLET,-122.8137674,50.775009600000004,
Pinchi,SETTLEMENTS,HAMLET,-124.50591050000001,54.568827500000005,
Alert Bay,SETTLEMENTS,VILLAGE,-126.916667,50.583333,
Tulsequah,SETTLEMENTS,TOWN,-133.53469800000002,58.633361,
Ochiltree,SETTLEMENTS,TOWN,-121.80000000000001,52.233333,
Surf Inlet,SETTLEMENTS,TOWN,-128.9,53.033333000000006,
Hagensborg,SETTLEMENTS,VILLAGE,-126.502075,52.399905000000004,
Wright,SETTLEMENTS,TOWN,-121.666667,51.86666700000001,
Bella Coola,SETTLEMENTS,TOWN,-126.75565350000001,52.372276600000006,
Pavilion,SETTLEMENTS,VILLAGE,-121.828152,50.882952,
Alice Arm,SETTLEMENTS,HAMLET,-129.4876843,55.4820262,
Wadhams,SETTLEMENTS,TOWN,-127.5209435,51.5115514,
Alkali Lake,SETTLEMENTS,VILLAGE,-122.24129370000001,51.787324000000005,
Kitimat,SETTLEMENTS,CITY,-128.6540519,54.053557700000006,
Streatham,SETTLEMENTS,TOWN,-126.166667,53.800000000000004,
Birken,SETTLEMENTS,HAMLET,-122.58953580000001,50.4853917,
Sullivan Bay,SETTLEMENTS,TOWN,-126.866667,50.916667000000004,
Cottonwood,SETTLEMENTS,HAMLET,-122.1565896,53.052042,
Old Hogem,SETTLEMENTS,HAMLET,-125.445079,55.7620857,
Ioco,SETTLEMENTS,HAMLET,-122.86569300000001,49.3003639,
Evelyn,SETTLEMENTS,HAMLET,-127.26359380000001,54.8836765,
Agassiz,SETTLEMENTS,TOWN,-121.76666700000001,49.233333,
Duncan Bay,SETTLEMENTS,VILLAGE,-125.273205,50.064353000000004,
New Hazelton,SETTLEMENTS,VILLAGE,-127.58775270000001,55.2454266,
Whytecliff,SETTLEMENTS,SUBURB,-123.2864847,49.373452,
