rank,trail_name,location,breadcrumbs,difficulty,rating,num_reviews,route_type,length,high,low,gmaps_link,description,photo
8,"
        Rainbow-Sproat Flank Trail
    ","
    Whistler, BC
","Vancouver Coast and Mountains,Whistler,The West Side",Difficult,5.0,2,Point to Point,8.1,"
    1,012","
    598","https://maps.google.com/?daddr=50.088819,-123.039936","<div class=""mb-1"">
        The Rainbow-Sproat Flank is an intermediate trail that climbs and then traverses across the range that overlooks Whistler Valley. It is used extensively to access other trails and to create loops.<br>
<br>
This trail has a few steep sections and tight turns. The start and finish of this trail can see a lot of multi-use traffic in the summer, so be aware of other users.
    </div>",
40,"
        Selwyn Traverse Trail
    ","Valemount, BC","BC Rockies,Valemount,Valemount Bike Park",Difficult,5.0,1,Point to Point,11.4,"
    1,200","
    781","https://maps.google.com/?daddr=52.843956,-119.240799","<div class=""mb-1"">
        Starting in the upper reaches of 5 Mile near the trailhead for Tinfoil Hat Downhill and Andreas' Downhill, this southbound trail traverses a very nice bench land with several small creek crossings and some lovely mixed forests. The trail ends at the Packsaddle Creek parking area. If traveled in reverse (from the Packsaddle Creek parking area), the Selwyn Traverse becomes a long, continuous uphill; the grade is never severe but the uphill climb is unrelenting.
    </div>",
39,"
        Mount Bruce Trail
    ","Invermere, BC",BC Rockies,Intermediate/Difficult,5.0,1,Point to Point,3.1,"
    2,502","
    1,880","https://maps.google.com/?daddr=50.527387,-116.253613","<div class=""mb-1"">
        <div class=""trail-contacts"">
                <p><strong>Land Manager: </strong> <a data-gtm-id=""manager-external-link"" target=""_blank"" href=""http://greenways.ca"">Columbia Valley Trail Alliance Greenways</a></p>
    </div>    </div>",
37,"
        Lower Seymour Trailway
    ","North Vancouver, BC","Vancouver Coast and Mountains,North Shore,Lower Seymour Conservation Reserve",Easy,5.0,1,Point to Point,11.6,"
    257","
    190","https://maps.google.com/?daddr=49.351035,-123.016247","<div class=""mb-1"">
        From the LCSR parking lot, this paved route is well signed. This shared-use trail is frequented by cyclists and runners throughout the sunny summer months and can be a little busy on a nice weekend.
    </div>",
1,"
        Berg Lake Trail
    ","
    Valemount, BC
","BC Rockies,Valemount,Mt. Robson Provincial Park",Intermediate/Difficult,5.0,4,Point to Point,22.2,"
    1,672","
    837","https://maps.google.com/?daddr=53.050686,-119.214254","<div class=""mb-1"">
        <b>Kinney Lake</b> (0 - 5.5 miles, flat with some very gradual uphill)<br>
Berg Lake Trail starts by crossing the swift flowing Robson River, and then following it upstream to Kinney Lake. Here the trail is in fir forest. Robson River can be seen to the right. Occasionally, through breaks in the trees, Mt. Robson can be seen ahead. About 2.6 miles from the trailhead, at the Kinney Lake outlet, the trail crosses Robson River on a sturdy bridge. Kinney Lake, a beautiful turquoise lake, then comes into view. From here, the trail follows the Kinney Lake shore around the south end of the lake, and up its northeast shoreline. At mile 4.4, at the end of the lake, the trail reaches Kinney Flats. Kinney Flats is an open area of mud flats crisscrossed by inlet streams to Kinney Lake. The trail goes along the side of Kinney Flats and then crosses them. Make sure to stay on the trail here and take the bridges across the streams and wettest areas.<br>
<br>
<b>Robson River</b> (5.5 miles- 7.1 miles, short climb and then flat)<br>
At 5.5 miles from its trailhead, Berg Lake Trail leaves Kinney Lake/Flats behind and re-enters the fir forest. The trail climbs for about 0.5 miles, and then levels off, as it returns to following Robson River upstream. The river is below the trail on the right. To the left, the forested hillsides rise steeply. At mile 6.5, the trail emerges from the forest to cross Robson River on a suspension bridge. The trail then veers left along the banks of Robson River. This trail section is wide open with steep cliffs laced with waterfalls, across Robson River.<br>
<br>
<b>Valley of a Thousand Falls</b> (7.1 miles - 9.2 miles, CLIMB)<br>
At about mile 7.1, Berg Lake Trail turns a bend to the right, enters Valley of a Thousand Falls, and begins to climb. Robson River is crossed again, and is now to the right. So are the waterfalls, all 1,000 or so of them. The trail climbs, and Climbs, and CLIMBS, as Robson River cascades down White Falls, Falls of the Pool, Emperor Falls, and more falls.<br>
<br>
<b>Berg Lake Valley</b> (9.2 miles - 13.8 miles, flat)<br>
At mile 9.2, Berg Lake Trail emerges from the forest to go along a large meadow to the right, that is crisscrossed with Berg Lake outlet streams. To the left is a scree hillside. Berg Lake is reached at mile 10.9, its turquoise waters to the right of the trail. To the left is forest. Across Berg Lake is Mt. Robson with its glaciers flowing into Berg Lake. The trail reaches the north end of Berg Lake at mile 12.1, and continues across beautiful land to reach Alberta at mile 13.8 where it becomes Moose River Route.
    </div>",https://cdn2.apstatic.com/photos/hike/7038207_medium_1555087793.jpg
4,"
        Mount Outram Trail
    ","
    Hope, BC
","Vancouver Coast and Mountains,Chilliwack",Difficult,5.0,3,Point to Point,9.6,"
    2,451","
    668","https://maps.google.com/?daddr=49.255288,-121.188894","<div class=""mb-1"">
        This trail is a long slog up switchbacks along well defined and well maintained trail to the alpine. Once in the alpine, the route is marked by red paint on rocks. Hikers should be aware that there is a lot of scree and small boulders to navigate through. The true summit is fairly exposed, and there is a short scramble up and down a couple dips along the summit ridge before actually reaching the peak.
    </div>",https://cdn2.apstatic.com/photos/hike/7037117_medium_1555085279.jpg
3,"
        Snowbird Pass Route
    ","
    Valemount, BC
","BC Rockies,Valemount,Mt. Robson Provincial Park",Difficult,5.0,3,Point to Point,9.3,"
    2,445","
    1,651","https://maps.google.com/?daddr=53.159695,-119.137933","<div class=""mb-1"">
        Snowbird Pass Route is a challenging, rewarding hike to Snowbird Pass from any of the Berg Lake area trail camps. Whether or not one gets all the way to Snowbird Pass, there is dramatic beauty all along the way. The Snowbird Pass Route Trailhead is well marked by a trail sign on the <a href=""https://www.hikingproject.com/trail/7038998/berg-lake-trail"">Berg Lake Trail</a>.<br>
<br>
Snowbird Pass Route starts off flat in the meadows of the Berg Lake Valley. The trail reaches the Robson River almost immediately, and then follows the silt-laden water up to its source at the small, glacier-fed Robson Lake.<br>
<br>
Leaving the meadows behind, and now on rock, the trail reaches Robson Lake about 0.9 miles from the trailhead. From here, the trail runs next to Robson Lake to its left. About 1.4 miles from the trailhead, the trail turns left to climb rocks to the top of a glacial moraine. This is a lateral moraine from Robson Glacier that can be seen ahead flowing down into Robson Lake. The trail becomes difficult to follow for about 0.6 miles as it climbs this moraine—look for cairns and red rectangles. <br>
<br>
Still climbing the moraine about 2 miles from the trailhead, the trail becomes more obvious as it climbs a few switchbacks to reach the top of the moraine. At this point, the trail is at the far end of Robson Lake that can be seen far below, with Robson Glacier calving into it. Robson Glacier is up close and straight ahead. Snowy Resplendent Mountain and many others are behind Robson Glacier. Rearguard Mountain, with Mt. Robson behind it, is just across Robson Lake/Glacier to the right.<br>
<br>
Now up on the moraine, the trail is flat and easy to follow again as it runs along the top of the rocky moraine next to Robson Glacier below. After about a mile on the moraine, a creek is heard ahead. This creek is tumbling down a waterfall from the (unseen) high meadows to the left of the trail. Just before reaching the creek/waterfall about 3.5 miles from the trailhead, the trail veers left to go up a few switchbacks to get to the high meadows. If you are short of time, or energy, if you make the goal to at least get to this point the hike is still well worth it as the view from this point is one of the best in the area.<br>
<br>
Upon reaching the high meadows, the trail follows the creek to the right. Lynx Mountain is ahead to the right and Titkana Peak is in the distance to the left, with Snowbird Pass between them. The trail heads over the meadows toward the pass. About 0.5 miles below the pass, now on rock, the trail makes a final climb to reach Snowbird Pass.
    </div>",https://cdn2.apstatic.com/photos/hike/7038766_medium_1555089605.jpg
250,"
        Celeste Lake Connector
    ","Golden, BC","BC Rockies,Yoho National Park",Intermediate,3.0,1,Point to Point,4.2,"
    2,178","
    1,878","https://maps.google.com/?daddr=51.508214,-116.52158","<div class=""mb-1"">
        This is a trail that can be used to shorten the <a href=""https://www.hikingproject.com/trail/7026034/iceline-trail"">Iceline Trail</a> by a significant amount by cutting off much of the western section and <a href=""https://www.hikingproject.com/trail/7026035/little-yoho-valley-trail"">Little Yoho Valley Trail</a>. If you are not interested in doing the full loop or the weather takes a turn for the worse, this trail will get you back down to treeline quickly and save a ton of time on the return via <a href=""https://www.hikingproject.com/trail/7026032/laughing-falls-trail"">Laughing Falls Trail</a>.<br>
<br>
The top of the trail is just about in the middle of <a href=""https://www.hikingproject.com/trail/7026034/iceline-trail"">Iceline Trail</a> and heads down to the north. It makes a series of big bends allowing it to avoid being too steep. You should also get some great views/photos at Celeste Lake.
    </div>",
247,"
        Lake Loop
    ","West Kelowna, BC","BC Rockies,Rose Valley Regional Park",Intermediate,3.0,1,Point to Point,7.6,"
    678","
    557","https://maps.google.com/?daddr=49.887259,-119.578233","<div class=""mb-1"">
        The Lake Loop is a great trail for completing a full lap of the Rose Valley Reservoir. Hikers will find the trailhead along the service road leading to Rose Valley Dam. There is a dump yard on the left approximately 150 meters from the dam, and the trailhead runs through there.  <br>
<br>
Most of the heavy lifting is in the first km of the trail, as 30+ switchbacks gain most of the elevation in the hike. Luckily, the trail is well-built.<br>
<br>
The starting section of this route shares the tread with a trail called Daze of Roses and will connect to a relatively new cut out called ""Sweet Street"".  Once you circle the reservoir you end up at the base of Swamp Donkey which is a great ascent up and out to your vehicle at the Elementary School.
    </div>",
246,"
        Spirea Nature Trail
    ","Maple Ridge, BC","Vancouver Coast and Mountains,Vancouver Metro,Golden Ears Provincial Park",Easy,3.0,1,Point to Point,0.9,"
    192","
    140","https://maps.google.com/?daddr=49.287871,-122.491874","<div class=""mb-1"">
        Easy trail throughout.
    </div>",
