restaurant_name,address,rating,num_reviews,tripadvisor_rating,cost,tags,website,google_maps_link
Le Crocodile,"100-909 Burrard St, Vancouver, British Columbia V6Z 2N2 Canada",4.5 of 5 bubbles,"1,070","#30, of 2,517 Restaurants in Vancouver",$$$$,"French,European,Vegetarian Friendly",,
Bao Bei Chinese Brasserie,"163 Keefer St, Vancouver, British Columbia V6A 1X3 Canada",4.5 of 5 bubbles,503,"#29, of 2,517 Restaurants in Vancouver",$$ - $$$,"Chinese,Asian,Vegetarian Friendly",,
Giardino Restaurant,"1328 Hornby St, Vancouver, British Columbia V6Z 1W5 Canada",4.5 of 5 bubbles,304,"#28, of 2,517 Restaurants in Vancouver",$$$$,"Italian,European,Tuscan",,
Illuminate Restorante,"125-1077 56 St, Tsawwassen, Delta, British Columbia V4L 2A2 Canada",4.5 of 5 bubbles,220,"#1, of 34 Restaurants in Tsawwassen",$$$$,"Italian,Seafood,Mediterranean",,
Annora Restaurant,"5572 204th St, Langley City, British Columbia V3A 1Z5 Canada",5.0 of 5 bubbles,117,"#1, of 144 Restaurants in Langley City",$$ - $$$,"Canadian,Vegetarian Friendly,Gluten Free Options",,
Hunter Gather,"101-4368 Main St, Whistler, British Columbia V8E 1B6 Canada",4.5 of 5 bubbles,239,"#30, of 133 Restaurants in Whistler",$$ - $$$,"Brew Pub,Bar,Barbecue",,
Big Feast,"11920 227 St, Maple Ridge, British Columbia V2X 6J2 Canada",4.5 of 5 bubbles,391,"#1, of 125 Restaurants in Maple Ridge",$$ - $$$,"Cafe,International,Healthy",,
Portobello,"4599 Chateau Blvd, Whistler, British Columbia V0N 1B4 Canada",4.5 of 5 bubbles,695,"#29, of 133 Restaurants in Whistler",$$ - $$$,"American,Cafe,Canadian",,
Artusi,"412 Sixth St, New Westminster, British Columbia V3L 3B2 Canada",5.0 of 5 bubbles,13,"#28, of 189 Restaurants in New Westminster",$$ - $$$,Italian,,
Paddlewheeler Pub,"Westminster Quay Public 235-810 Quayside Dr, New Westminster, British Columbia V3M 6B9 Canada",3.5 of 5 bubbles,250,"#27, of 189 Restaurants in New Westminster",$$ - $$$,"Bar,Pub,Canadian",,
North Noodle House,"800 Carnarvon St #356 Shops at New West, New Westminster, British Columbia V3M 0G3 Canada",4.5 of 5 bubbles,25,"#26, of 189 Restaurants in New Westminster",$,"Chinese,Asian,Vegetarian Friendly",,
Asteras Greek Taverna,"347 Wesley St, Nanaimo, British Columbia V9R 2T5 Canada",4.5 of 5 bubbles,"1,315","#1, of 203 Restaurants in Nanaimo",$$ - $$$,"Mediterranean,Greek,Vegetarian Friendly",,
Otter Co-op,"32470 Simon Ave, Abbotsford, British Columbia V2T 4J2 Canada",4.0 of 5 bubbles,119,"#58, of 211 Restaurants in Abbotsford",$$ - $$$,"Bar,Pub,Canadian",,
MeeT in Gastown,"12 Water St Inner Courtyard, Gastown, Vancouver, British Columbia V6B 1A5 Canada",4.5 of 5 bubbles,452,"#32, of 2,517 Restaurants in Vancouver",$$ - $$$,"Canadian,Vegetarian Friendly,Vegan Options",,
Little Hobo Soup & Sandwich Shop,"596 Leon Ave, Kelowna, British Columbia V1Y 6J6 Canada",5.0 of 5 bubbles,716,"#1, of 350 Restaurants in Kelowna",$,"Cafe,Healthy,Canadian",,
Tokyo 1 Asian Buffet & Bar,"2125 Enterprise Way, Kelowna, British Columbia V1Y 0A8 Canada",4.0 of 5 bubbles,348,"#29, of 350 Restaurants in Kelowna",$$ - $$$,"Japanese,Sushi,Asian",,
Browns Socialhouse,"1255 Lynn Valley Rd, North Vancouver, British Columbia V7J 0A1 Canada",4.0 of 5 bubbles,126,"#23, of 299 Restaurants in North Vancouver",$$ - $$$,"Bar,Contemporary,Canadian",,
Memphis Blues Barbeque House,"289 Bernard Ave, Kelowna, British Columbia V1Y 6N2 Canada",4.0 of 5 bubbles,389,"#28, of 350 Restaurants in Kelowna",$$ - $$$,"American,Barbecue,Canadian",,
Momo Sushi Kelowna,"377 Bernard Ave, Kelowna, British Columbia V1V 2R9 Canada",4.5 of 5 bubbles,289,"#30, of 350 Restaurants in Kelowna",$$ - $$$,"Japanese,Sushi,Asian",,
Kove Kitchen,"140-3900 Bayview St, Richmond, British Columbia V7E 4R7 Canada",4.0 of 5 bubbles,119,"#30, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Canadian",,
Fisherman s Terrace Seafood Restaurant,"3580-4151 Hazelbridge Way, Richmond, British Columbia V6X 4J7 Canada",4.0 of 5 bubbles,153,"#29, of 683 Restaurants in Richmond",$$ - $$$,"Chinese,Seafood,Asian",,
Tramonto at River Rock Casino Resort,"River Rock Casino Resort 8811 River Rd, Richmond, British Columbia V6X 3P8 Canada",4.0 of 5 bubbles,163,"#28, of 683 Restaurants in Richmond",$$$$,"Canadian,Gluten Free Options",,
Curve,"River Rock Casino Resort 8811 River Rd In River Rock Casino, Richmond, British Columbia V6X 3P8 Canada",4.0 of 5 bubbles,133,"#31, of 683 Restaurants in Richmond",$$ - $$$,"American,Bar,Gastropub",,
the apron,"3099 Corvette Way, Richmond, British Columbia V6X 4K3 Canada",4.0 of 5 bubbles,81,"#26, of 683 Restaurants in Richmond",$$ - $$$,"International,Canadian,Vegetarian Friendly",,
